Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
Eldest,,Book II,,,Christopher Paolini,"Paolini, Christopher",,,,,,Random House Children's Books,New York,2007/03/13,2007,,,,Young Adult Fiction,"Don’t miss the eagerly anticipated epic new fantasy from Christopher Paolini—Murtagh!New magic and new threats take flight in Book Two of the Inheritance Cycle, perfect for fans of Lord of the Rings! This New York Times bestselling series has sold over 40 million copies and is an international fantasy sensation. ""Christopher Paolini is a true rarity."" —The Washington PostDarkness falls… despair abounds… evil reigns… Eragon and his dragon, Saphira, have just saved the rebel state from destruction by the mighty forces of King Galbatorix. Now Eragon must travel to Ellésmera, land of the elves, for further training in the skills of the Dragon Rider: magic and swordsmanship. But chaos and betrayal plague him at every turn, and nothing is what it seems. Before long, Eragon doesn’t know whom he can trust.Will the king’s dark hand strangle all resistance? Eragon may not escape with even his life. . . .This updated edition of Eldest includes:· A sneak peek of Murtagh· One section of a brand-new Alagaësia map by Christopher, with a unique code that will unlock a different piece of exclusive digital content. Collect all 4 books in the Inheritance Cycle to see the full map and unlock all bonus content!· A redesigned cover using the iconic original art",,,,,,,,,,,720,,,5.51 x 1.42 x 8.27 in,,,English,,[Fic],,,,9780375840401,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/05/22 17:42:21.246490955,,,,,,,,x5mODQAAQBAJ,,0,0,0,,,
Eragon,,Book I,,,Christopher Paolini,"Paolini, Christopher",,,,,,Random House Children's Books,New York,2005/04/26,2005,,,,Young Adult Fiction,"Don’t miss the eagerly anticipated epic new fantasy from Christopher Paolini—Murtagh!A new adventure hatches in Book One of the Inheritance Cycle, perfect for fans of Lord of the Rings! This New York Times bestselling series has sold over 40 million copies and is an international fantasy sensation. ""Christopher Paolini is a true rarity."" —The Washington Post When fifteen-year-old Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself.  Overnight his simple life is shattered, and, gifted with only an ancient sword, a loyal dragon, and sage advice from an old storyteller, Eragon is soon swept into a dangerous tapestry of magic, glory, and power. Now his choices could save—or destroy—the Empire.This updated edition of Eragon includes: · A sneak peek of Murtagh · One section of a brand-new Alagaësia map by Christopher, with a unique code that will unlock a different piece of exclusive digital content. Collect all 4 books in the Inheritance Cycle to see the full map and unlock all bonus content! · A redesigned cover using the iconic original art",,,,,,,,,,,544,,,5.51 x 1.06 x 8.27 in,,9.99 $,English,,[Fic],,,,9780375826696,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/05/22 17:42:21.243039965,,,,,,,,neurDAAAQBAJ,,0,0,0,,,
Erasing History,,How Fascists Rewrite the Past to Control the Future,,,Jason Stanley,"Stanley, Jason",,,,,,Simon and Schuster,New York,2024/09/10,2024,,,,History,"""I've never read a book that is as timely, urgent and essential as this one. A battle plan for keeping this nation from falling into fascism."" --Khalil Gibran Muhammad, author of The Condemnation of Blackness From the bestselling author of How Fascism Works, a searing confrontation with the far right's efforts to rewrite history and undo a century of progress on race, gender, sexuality, and class. The human race finds itself again under threat of a rising global fascist movement. In the United States, democracy is under attack by an authoritarian movement that has found fertile ground among the country's conservative politicians and voters, but similar movements have found homes in the hearts and minds of people all across the globe. To understand the shape, form, and stakes of this assault, we must go back to extract lessons from our past. Democracy requires a common understanding of reality, a shared view of what has happened, that informs ordinary citizens' decisions about what should happen, now and in the future. Authoritarians target this shared understanding, seeking to separate us from our own history to destroy our self-understanding and leave us unmoored, resentful, and confused. By setting us against each other, authoritarians represent themselves as the sole solution. In authoritarian countries, critical examination of those nations' history and traditions is discouraged if not an outright danger to those who do it. And it is no accident that local and global institutions of education have become a battleground, the authoritarian right's tip of the spear, where learning and efforts to upend a hierarchal status quo can be put to end by coercion and threats of violence. Democracies entrust schools and universities to preserve a common memory of positive change, generated by protests, social movements, and rebellions. The authoritarian right must erase this history, and, along with it, the very practice of critical inquiry that has so often been the engine of future progress. In Erasing History, Yale professor of philosophy Jason Stanley exposes the true danger of the authoritarian right's attacks on education, identifies their key tactics and funders, and traces their intellectual roots. He illustrates how fears of a fascist future have metastasized, from hypothetical threat to present reality. And he shows that hearts and minds are won in our schools and universities--places, he explains, that democratic societies across the world are now ill-prepared to defend against the fascist assault currently underway. Deeply informed and urgently needed, Erasing History is a global call to action for those who wish to preserve democracy--in America and abroad--before it is too late.",,,,,,,,,,,256,,,5.51 x 1.18 x 8.39 in,,,English,,320.533,,,,9781668056912,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 11:24:30.162459969,,,,,,,,DJAZEQAAQBAJ,,0,0,0,,,
Everything Is Tuberculosis (Signed Edition),,The History and Persistence of Our Deadliest Infection,,,John Green,"Green, John",,,,,,Penguin Group,,2025/03/18,2025,,,,Social Science,"John Green, the #1 bestselling author of The Anthropocene Reviewed and a passionate advocate for global healthcare reform, tells a deeply human story illuminating the fight against the world’s deadliest infectious disease. Signed edition“This highly readable call to action could not be more timely.” –Kirkus, starred review“Mem­orably probes the intersections of medicine and human emotion.” –Bookpage, starred reviewTuberculosis has been entwined with hu­manity for millennia. Once romanticized as a malady of poets, today tuberculosis is seen as a disease of poverty that walks the trails of injustice and inequity we blazed for it.In 2019, author John Green met Henry Reider, a young tuberculosis patient at Lakka Government Hospital in Sierra Leone. John be­came fast friends with Henry, a boy with spindly legs and a big, goofy smile. In the years since that first visit to Lakka, Green has become a vocal advocate for increased access to treatment and wider awareness of the healthcare inequi­ties that allow this curable, preventable infec­tious disease to also be the deadliest, killing over a million people every year.In Everything Is Tuberculosis, John tells Henry’s story, woven through with the scientific and social histories of how tuberculosis has shaped our world—and how our choices will shape the future of tuberculosis.",,,,,,,,,,,208,,,5.51 x 0.55 x 8.27 in,,,English,,,,,,9780525426059,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/19 15:15:15.986871004,,,,,,,,VJIrEQAAQBAJ,,0,0,0,,,
Exile,,The Legend of Drizzt,,,R.A. Salvatore,"Salvatore, R.A.",,,,,,Wizards of the Coast Publishing,,2006/03/07,2006,,,,Fiction,"Dark elf Drizzt Do’Urden fights for his survival in the labyrinthine tunnels of the Underdark Ten years have passed since we last saw Drizzt Do’Urden and his magical feline companion, Guenhwyvar—and much has changed. Exiled from Menzoberranzan, the city of his childhood and the hub of drow society, Drizzt now wanders the subterranean maze of the Underdark in search of a new home. As I became a creature of the empty tunnels, survival became easier and more difficult all at once. I gained in the physical skills and experience necessary to live on. I could defeat almost anything that wandered into my chosen domain. It did not take me long, however, to discover one nemesis that I could neither defeat nor flee. It followed me wherever I went—indeed, the farther I ran, the more it closed in around me. My enemy was solitude, the interminable, incessant silence of hushed corridors.But loneliness is not the only thing that preys on Drizzt: His drow enemies, including his own siblings, would like nothing more than to see him dead. They begin their own search of the Underdark tunnels with murder on their minds, forcing Drizzt to watch his back at every turn. Exile is the second book in the Dark Elf Trilogy and the Legend of Drizzt series.",,,,,,,,,,,384,,,4.17 x 0.91 x 6.81 in,,,English,,,,,,9780786939831,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 16:28:17.273995995,,,,,,,,KgRPEAAAQBAJ,,0,0,0,,,
Fahrenheit 451,,A Novel,,,Ray Bradbury,"Bradbury, Ray",,,,,,Simon and Schuster,,,2012,,,,Fiction,"""Sixty years after the original publication, Ray Bradbury's internationally acclaimed novel 'Fahrenheit 451' stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before. Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television ""family."" But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn't live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known. This sixtieth-anniversary edition commemorates Ray Bradbury's masterpiece with a new introduction by Neil Gaiman ; personal essays on the genesis of the novel by the author ; a wealth of critical essays and reviews by Nelson Algren, Harold Bloom, Margaret Atwood, and others ; rare manuscript pages and sketches from Ray Bradbury's personal archive ; and much more. Here, at last, is the definitive edition of a classic of world literature.""--taken from back cover.",,,,,,,,,,,159,,,,,,English,,,,,,9781451673319,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 11:01:53.785511016,,,,,,,,y3CyRurE7P4C,,0,0,0,,,
Fever-Tree Easy Mixing,,More Than 150 Quick and Delicious Mixed Drinks and Cocktails,,,Fever-Tree Limited,"Limited, Fever-Tree",,,,,,Octopus Publishing Group,London,,2021,,,,Cooking,"A new super-speedy and easy collection of delicious mixed drinks from the world's leading premium mixer brand    150 cocktails and mixed drinks that you can make at home in no more than 3 minutes. This means simple ingredients, not too many of them, and things you will have in your cupboard and fridge without having to trawl the internet or specialty drinks aisles.     In a further twist, many recipes offer three variations - simple, sassy and sophisticated -so you can choose whether to go for the speediest when you are short of time, or the souped-up version when you are in the mood to experiment.     Chapters such as Mojitos and Mules offer brilliant spins on familiar classics, No-Low has lots of ideas for alcohol-free drinks and Pitcher Perfect is packed with easy recipes that you can batch and make in quantity to serve to a crowd.     All the simple, speedy and delicious ideas you would expect from the world's leading premium mixer brand.",,,,,,,,,,,224,,,6.34 x 1.14 x 8.58 in,,,English,,641.874,,,,9781784727833,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 15:57:40.080507993,,,,,,,,D_UczgEACAAJ,,0,0,0,,,
Firekeeper's Daughter,,,,,Angeline Boulley,"Boulley, Angeline",,,,,,Henry Holt and Company (BYR),New York,2021/03/16,2021,,,,Young Adult Fiction,"An Instant #1 New York Times Bestseller! A Reese Witherspoon x Hello Sunshine Book Club Pick! A Printz Medal AND Morris Award Winner!Soon to be adapted at Netflix for TV with President Barack Obama and Michelle Obama's production company, Higher Ground. “One of this year's most buzzed about young adult novels.” —Good Morning AmericaWith four starred reviews, Angeline Boulley's debut novel, Firekeeper's Daughter, is a groundbreaking YA thriller about a Native teen who must root out the corruption in her community, perfect for readers of Angie Thomas and Tommy Orange.Eighteen-year-old Daunis Fontaine has never quite fit in, both in her hometown and on the nearby Ojibwe reservation. She dreams of a fresh start at college, but when family tragedy strikes, Daunis puts her future on hold to look after her fragile mother. The only bright spot is meeting Jamie, the charming new recruit on her brother Levi’s hockey team.Yet even as Daunis falls for Jamie, she senses the dashing hockey star is hiding something. Everything comes to light when Daunis witnesses a shocking murder, thrusting her into an FBI investigation of a lethal new drug. Reluctantly, Daunis agrees to go undercover, drawing on her knowledge of chemistry and Ojibwe traditional medicine to track down the source. But the search for truth is more complicated than Daunis imagined, exposing secrets and old scars. At the same time, she grows concerned with an investigation that seems more focused on punishing the offenders than protecting the victims.Now, as the deceptions—and deaths—keep growing, Daunis must learn what it means to be a strong Anishinaabe kwe (Ojibwe woman) and how far she’ll go for her community, even if it tears apart the only world she’s ever known.Return to Sugar Island in Warrior Girl Unearthed...Pick this up if you love:- small-town mystery- fake dating turns real- an ending you'll never see coming",,,,,,,,,,,496,,,6.46 x 1.46 x 9.45 in,,,English,,[Fic],,,,9781250766564,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/09 17:30:51.304669976,,,,,,,,a9pozQEACAAJ,,0,0,0,,,
Foundation,,,,,Isaac Asimov,"Asimov, Isaac",,,,,,Harper Voyager,,2016/09/19,2016,,,,Fiction,"WINNER OF THE HUGO AWARD FOR BEST ALL-TIME SERIES The Foundation series is Isaac Asimov's iconic masterpiece. Unfolding against the backdrop of a crumbling Galactic Empire, the story of Hari Seldon's two Foundations is a lasting testament to an extraordinary imagination, one that shaped science fiction as we know it today.   The Galactic Empire has prospered for twelve thousand years. Nobody suspects that the heart of the thriving Empire is rotten, until psychohistorian Hari Seldon uses his new science to foresee its terrible fate. Exiled to the desolate planet Terminus, Seldon establishes a colony of the greatest minds in the Empire, a Foundation which holds the key to changing the fate of the galaxy. However, the death throes of the Empire breed hostile new enemies, and the young Foundation's fate will be threatened first.",,,,,,,,,,,240,,,5.04 x 0.59 x 7.80 in,,,English,,,,,,9780008117498,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/27 07:20:45.201612949,,,,,,,,PKV6swEACAAJ,,0,0,0,,,
Game,,"The Sequel to ""I Hunt Killers""",,,Barry Lyga,"Lyga, Barry",,,,,,"Little, Brown Books for Young Readers",New York,2013/04/16,2013,,,,Juvenile Fiction,"Billy grinned. ""Oh, New York,"" he whispered. ""We're gonna have so much fun."" I Hunt Killers introduced the world to Jazz, the son of history's most infamous serial killer, Billy Dent.In an effort to prove murder didn't run in the family, Jazz teamed with the police in the small town of Lobo's Nod to solve a deadly case. And now, when a determined New York City detective comes knocking on Jazz's door asking for help, he can't say no. The Hat-Dog Killer has the Big Apple--and its police force--running scared. So Jazz and his girlfriend, Connie, hop on a plane to the big city and get swept up in a killer's murderous game.Both the stakes and the body count are higher in this suspenseful and unstoppable sequel from acclaimed author Barry Lyga.",,,,,,,,,,,528,,,5.98 x 1.73 x 8.74 in,,8.99 $,English,,[Fic],,,,9780316125871,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/06 17:02:22.957887053,,,,,,,,ov-dngEACAAJ,,0,0,0,,,
Gauntlgrym,,The Legend of Drizzt,,,R.A. Salvatore,"Salvatore, R.A.",,,,,,National Geographic Books,"Renton, WA",2011/07/05,2011,,,,Fiction,"With nothing left to lose, Drizzt and Bruenor begin an arduous search for the lost dwarven kingdom of Gauntlgrym The peace between the dwarves of Mithral Hall and the orcish Kingdom of Many-Arrows has not come without its costs. But even grief and old age cannot dissuade Bruenor Battlehammer from pursuing his dream of finding the fabled kingdom of Gauntlgrym—ruins said to be rich with ancient treasure and arcane lore. As always, Drizzt Do’Urden is at his side, ready to make the most of his friend’s final years. But Jarlaxle and Athrogate are two steps ahead. In their own search for treasure and magic, Jarlaxle and Athrogate inadvertently set into motion a catastrophe that could spell disaster for the unsuspecting people of the city of Neverwinter—a catastrophe big enough to lure even the mercenary Jarlaxle into risking his own coin and skin to stop it. Unfortunately, the more they uncover about the secret of Gauntlgrym, the more it looks like they can’t stop it on their own. They’ll need help from the last people they ever thought to fight alongside again: Drizzt and Bruenor. Gauntlgrym is the first book in the Neverwinter Saga and the twenty-third installment in the Legend of Drizzt series.",,,,,,,,,,,400,,,4.09 x 0.98 x 6.89 in,,,English,,,,,,9780786958023,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 16:28:17.269629955,,,,,,,,mQSPEAAAQBAJ,,0,0,0,,,
Gleanings,,Stories from the Arc of a Scythe,,,Neal Shusterman,"Shusterman, Neal",,,,,,Simon & Schuster Books for Young Readers,,,2022,,,,Juvenile Fiction,"Centuries passed between the Thunderhead cradling humanity and Scythe Goddard trying to turn it upside down. For years humans lived in a world without hunger, disease, or death, with Scythes as the living instruments of population control. These stories travel the timeline as the Arc of a Scythe goes on-- meeting new heroes, new foes, and some figures in-between. -- adapted from jacket",,,,,,,,,,,457,,,,,,English,,,,,,9781665931694,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/09 17:30:51.293526053,,,,,,,,2YKmzwEACAAJ,,0,0,0,,,
Gods and Warriors,,,,,Michelle Paver,"Paver, Michelle",,,,,,Scholastic,New York,,2013,,,,Voyages and travels,"In the turbulent world of the Mediterranean Bronze Age, Hylas, a lowly twelve-year-old goatherd, thief, and outsider, journeys from the Greek mountains to Crete and Egypt, making allies with animals, battling tyranny, and withstanding the elemental powers of the gods of land and sea.",,,,,,,,,,,313,,,,,,English,,,,,,9780545644785,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/06 17:02:22.949866056,,,,,,,,nVbxngEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/8209908-L.jpg,
Harry Potter and the Chamber of Secrets,,,,,J. K. Rowling,"Rowling, J. K.",,,,,,Arthur A. Levine Books,New York,,1999,,,,Juvenile Fiction,"The summer after his first year at Hogwarts is worse than ever for Harry Potter. The Dursleys of Privet Drive are more horrible to him than ever before. And just when he thinks the endless summer vacation is over, a creature named Dobby the house-elf shows up issuing a grave warning to Harry not to go back to school or disaster will happen! Of course, Harry has to go back- and he does so in grand style, in a flying-car magicked by his friends Ron and Percy Weasley. But getting back to Hogwarts isn't the cure Harry expects it to be. Almost immediately a student is found turned to stone, and then another. And somehow Harry stands accused. Could Harry Potter be the long-feared heir of Slytherin?Harry and friends Hermione and Fred are stretched to their limits in a desperate fight against Draco Malfoy and his gang, the hideously stuck-up new professor Gilderoy Lockheart, the malevolent owner of the diary of Tom Riddle, giant spiders, and perhaps even...Hagrid!This is the book that proves J.K. Rowling is a talent that's here to stay!",,,,,,,,,,,341,,,5.98 x 1.46 x 9.45 in,,,English,,[Fic],,,,9780439064866,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/06 17:02:22.952687978,,,,,,,,Bikg274Y4Q0C,,0,0,0,,,
"Heroes of Olympus, The , Book Three: The Mark of Athena",,,,,Rick Riordan,"Riordan, Rick",,,,,,Hyperion Book CH,New York,2012/10/02,2012,,,,Juvenile Fiction,"In The Son of Neptune, Percy, Hazel, and Frank met in Camp Jupiter, the Roman equivalent of Camp Halfblood, and traveled to the land beyond the gods to complete a dangerous quest. The third book in the Heroes of Olympus series will unite them with Jason, Piper, and Leo. But they number only six--who will complete the Prophecy of Seven? /DIVThe Greek and Roman demigods will have to cooperate in order to defeat the giants released by the Earth Mother, Gaea. Then they will have to sail together to the ancient land to find the Doors of Death. What exactly are the Doors of Death? Much of the prophesy remains a mystery. . . . DIVWith old friends and new friends joining forces, a marvelous ship, fearsome foes, and an exotic setting, The Mark of Athena promises to be another unforgettable adventure by master storyteller Rick Riordan.",,,,,,,,,,,608,,,5.98 x 2.01 x 8.66 in,,,English,,[Fic],,,,9781423140603,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 11:24:30.154494047,,,,,,,,QtbOnQEACAAJ,,0,0,0,,,
"Heroes of Olympus, The, Book Two: The Son of Neptune",,,,,Rick Riordan,"Riordan, Rick",,,,,,Hyperion Book CH,New York,2011/10/04,2011,,,,Juvenile Fiction,"Percy is confused. When he awoke after his long sleep, he didn’t know much more than his name. His brain-fuzz is lingering, even after the wolf Lupa told him he is a demigod and trained him to fight. Somehow Percy managed to make it to the camp for half-bloods, despite the fact that he had to continually kill monsters that, annoyingly, would not stay dead. But the camp doesn't ring any bells with him.Hazel is supposed to be dead. When she lived before, she didn’t do a very good job of it. When the Voice took over her mother and commanded Hazel to use her “gift” for an evil purpose, Hazel couldn’t say no. Now, because of her mistake, the future of the world is at risk. Frank is a klutz. His grandmother claims he is descended from ancient heroes and can be anything he wants to be, but he doesn’t see it. He doesn’t even know who his father is. He keeps hoping Apollo will claim him, because the only thing he is good at is archery—although not good enough to help the Fifth Cohort win at war games. His big and bulky physique makes him feel like a clumsy ox, especially in front of Hazel, his closest friend at camp. He trusts her completely—enough, even, to share the secret he holds close to his heart. Beginning at the “other” camp for half-bloods and extending as far north as the land beyond the gods, this breathtaking second installment in the Heroes of Olympus series introduces new demigods, revives fearsome monsters, and features other remarkable creatures, all of whom are destined to play a part in the most important quest of all: the Prophecy of Seven.",,,,,,,,,,,544,,,,,,English,,[Fic],,,,9781423140597,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 11:24:30.151679039,,,,,,,,02oZzQEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/13011807-L.jpg,
Home Again,,A Novel,,,Kristin Hannah,"Hannah, Kristin",,,,,,Random House Publishing Group,New York,1996/10/30,1996,,,,Fiction,"NATIONAL BESTSELLER • From the author The Women, a moving, powerful novel about the fragile threads that bind together our lives and the astonishing potential of second chances“A tender, beautifully told story of emotional growth, forgiveness [and] the possibility of miracles.”—Publishers Weekly (starred review)Madelaine Hillyard is a world-famous heart surgeon at the top of her game. Her personal life is far less successful. A loving but overworked single mom, she is constantly at odds with her teenage daughter. At sixteen, Lina is confused, angry, and fast becoming a stranger to her mother—a rebel desperate to find the father who walked away before she was born. Complicating matters for Madelaine are the vastly different DeMarco brothers: While priest Francis DeMarco is always ready to lend a helping hand, his brother, Angel, long ago took on the role of bad boy. Years earlier Angel abandoned Madelaine—and fatherhood—to go in search of fame and fortune. His departure left Madelaine devastated, but now he reappears and seeks help from the very people he betrayed—as a patient in dire need.",,,,,,,,,,,448,,,4.17 x 0.94 x 7.09 in,,8.99 $,English,,,,,,9780449226353,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/06 17:02:22.966675996,,,,,,,,oeaLDQAAQBAJ,,0,0,0,,,
Homeland,,,,,R. A. Salvatore,"Salvatore, R. A.",,,,,,Wizards of the Coast,"Renton, Washington",2005/11/24,2005,,,,Fiction,,,,,,,,,,,,343,,,,,,,,,,,,9780786939534,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 11:01:53.795163989,,,,,,,,,,0,0,0,,https://covers.openlibrary.org/b/id/8600800-L.jpg,
House rules,,a novel,,,Jodi Picoult,"Picoult, Jodi",,,,,,Atria Books,New York,,2010,,,,Asperger's syndrome,,,,,,,,,,,,532,,,,,,English,,813/.54,,,,9780743296434,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 10:47:18.951130986,,,,,,,,,,0,0,0,,https://covers.openlibrary.org/b/id/9286523-L.jpg,
Howl's Moving Castle,,,,,Diana Wynne Jones,"Jones, Diana Wynne",,,,,,Eos,,2008/04/22,2008,,,,Blessing and cursing,"This entrancing classic fantasy novel is filled with surprises at every turn. An international bestseller, this much-loved book is the source for the Academy Award nominee for Best Animated Feature.Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle.To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.In this giant jigsaw puzzle of a fantasy, people and things are never quite what they seem. Destinies are intertwined, identities exchanged, lovers confused. The Witch has placed a spell on Howl. Does the clue to breaking it lie in a famous poem? And what will happen to Sophie Hatter when she enters Howl's castle?All fans of classic fantasy books deserve the pleasure of reading those by Diana Wynne Jones, whose acclaim included the World Fantasy Award for Life Achievement. The three books in the World of Howl are:Howl's Moving CastleCastle in the AirHouse of Many WaysOther beloved series from Dianna Wynne Jones include the Chronicles of Chrestomanci and the Dalemark Quartet.",,,,,,,,,,,448,,,,,11.99 $,,,,,,,9780061478789,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 11:01:53.783452033,,,,,,,,,,0,0,0,,https://covers.openlibrary.org/b/id/9351211-L.jpg,
Humble Pi,,When Math Goes Wrong in the Real World,,,Matt Parker,"Parker, Matt",,,,,,Penguin,,2021/01/19,2021,,,,Mathematics,"#1 INTERNATIONAL BESTSELLER    AN ADAM SAVAGE BOOK CLUB PICKThe book-length answer to anyone who ever put their hand up in math class and asked, “When am I ever going to use this in the real world?” “Fun, informative, and relentlessly entertaining, Humble Pi is a charming and very readable guide to some of humanity's all-time greatest miscalculations—that also gives you permission to feel a little better about some of your own mistakes.” —Ryan North, author of How to Invent Everything  Our whole world is built on math, from the code running a website to the equations enabling the design of skyscrapers and bridges. Most of the time this math works quietly behind the scenes . . . until it doesn’t. All sorts of seemingly innocuous mathematical mistakes can have significant consequences. Math is easy to ignore until a misplaced decimal point upends the stock market, a unit conversion error causes a plane to crash, or someone divides by zero and stalls a battleship in the middle of the ocean.  Exploring and explaining a litany of glitches, near misses, and mathematical mishaps involving the internet, big data, elections, street signs, lotteries, the Roman Empire, and an Olympic team, Matt Parker uncovers the bizarre ways math trips us up, and what this reveals about its essential place in our world. Getting it wrong has never been more fun.",,,,,,,,,,,336,,,5.51 x 0.83 x 8.27 in,,,English,,,,,,9780593084694,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 16:26:06.757115006,,,,,,,,heUlEAAAQBAJ,,0,0,0,,,
I Hunt Killers,,,,,Barry Lyga,"Lyga, Barry",,,,,,"Little, Brown Books for Young Readers",,2013/04/02,2013,,,,Young Adult Fiction,"The first book in this thrilling, terrifying series by New York Times bestselling author Barry Lyga is perfect for fans of Dexter. It was a beautiful day. It was a beautiful field.Except for the body.Jazz is a likable teenager. A charmer, some might say.But he's also the son of the world's most infamous serial killer, and for Dear Old Dad, ""Take Your Son to Work Day"" was year-round. Jazz has witnessed crime scenes the way cops wish they could--from the criminals' point of view.And now, even though Dad has been in jail for years, bodies are piling up in the sleepy town of Lobo's Nod. Again.In an effort to prove murder doesn't run in the family, Jazz joins the police in the hunt for this new serial killer. But Jazz has a secret--could he be more like his father than anyone knows?From acclaimed author Barry Lyga comes a riveting thriller about a teenager trying to control his own destiny in the face of overwhelming odds.",,,,,,,,,,,384,,,5.51 x 0.98 x 8.27 in,,,English,,,,,,9780316125833,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/06 17:02:22.955690026,,,,,,,,a4pSMQEACAAJ,,0,0,0,,,
